0;62.00;0.27
1;5156.00;1.02
1001;14.00;1.58
1002;3.00;1.38
dealply.com;39.00;0.84
tutnedorogo.ru;683.00;1.59
alawarcat-partner;13.00;3.03
nevosoftcat-partner;1.00;10.00
installmonetizer-partner;7.00;1.45
projectorman.ru;2.00;6.90
myplay-partner;1.00;0.40
skype-partner;2.00;4.17
123456;0.00;0.00
1234567;0.00;0.00
124391;0.00;0.00
aimp-rev;0.00;0.00
aimp-rev;7.00;1.75
sadovniki.by;3.00;0.66
runashop.com;7.00;0.73
moco-custom;0.00;0.00
priceok.ru;0.00;0.00
74.ru;263.00;1.17
13;8878.00;4.32
ru.buy.net;43.00;1.47
borpas-partner;0.00;0.00
borpas-partner;3.00;1.20
vksaver-rev;22.00;2.68
ixbt.com;55.00;0.91
lg-partner;0.00;0.00
socialmart.ru;7.00;0.90
mingas.ru;0.00;0.00
3dnews.ru;25.00;0.94
allnokia.ru;9.00;1.03
shopsave.ru;263.00;1.51
shopsave.ru;14.00;0.70
sidex.ru;1188.00;2.10
mobile-review.com;16.00;0.65
ya-self-distribution;0.00;0.00
partprice.ru;5.00;0.94
samsung-fun.ru;2.00;0.17
do.ngs.ru;2.00;0.21
ya-self-distribution;0.00;0.00
cowon-partner;2.00;10.53
notebook-center.ru;27.00;0.52
141131;1.00;0.05
lovivk-partner;0.00;0.00
notebook-center.ru;0.00;0.00
promo.socialmart.ru;306.00;2.23
141904;0.00;0.00
142546;43.00;3.16
pricevector.ru;545.00;1.58
chemax-rev-partner;0.00;0.00
vkontaktedj-partner;1.00;1.37
goon.ru;1.00;4.17
143856;11.00;1.76
www.sotovik.ru;8.00;1.73
144272;9.00;0.73
144375;0.00;0.00
145509;13.00;1.41
146277;0.00;0.00
146278;22.00;1.25
146590;184.00;0.83
146968;34.00;1.07
147026;0.00;0.00
147119;13.00;1.06
147174;631.00;1.77
147321;64.00;1.51
147571;0.00;0.00
147797;45.00;1.83
147821;67.00;1.31
148010;4.00;0.92
148056;1.00;0.18
148341;0.00;0.00
148525;180.00;0.48
148861;7.00;0.89
148862;129.00;1.80
149010;192.00;1.40
hamstersoft-partner;0.00;0.00
149288;0.00;0.00
149429;131.00;3.66
149516;0.00;0.00
149528;93.00;0.30
149543;58.00;0.52
149859;93.00;0.81
149976;3.00;0.65
149977;2.00;0.41
150185;1.00;7.14
150215;0.00;0.00
150289;4.00;0.38
150522;27.00;1.17
150644;619.00;1.29
150705;0.00;0.00
151198;37.00;7.77
explay-partner;0.00;0.00
151327;0.00;0.00
151328;0.00;0.00
151437;2.00;0.48
151559;0.00;0.00
152105;2.00;0.11
152106;6.00;2.26
152107;0.00;0.00
152108;49.00;1.08
152109;41.00;0.64
152110;44.00;0.77
152118;0.00;0.00
152127;0.00;0.00
152135;0.00;0.00
152428;13.00;0.51
152527;6.00;4.20
152528;2.00;2.15
152543;28.00;3.48
152586;18.00;0.94
152593;759.00;1.02
152623;1.00;2.50
152624;1.00;4.55
153078;2.00;6.25
153079;0.00;0.00
153080;0.00;0.00
153081;4.00;2.22
153082;0.00;0.00
153083;0.00;0.00
153350;30.00;0.30
lovivk-partner;0.00;0.00
153409;31.00;0.16
153472;18.00;0.30
153486;9.00;1.04
softclub-partner;11.00;0.34
softclub-partner;23.00;0.47
softclub-partner;20.00;0.61
softclub-partner;43.00;1.05
153523;0.00;0.00
153524;12.00;0.92
153526;1.00;0.03
153527;18.00;0.52
153528;0.00;0.00
153530;51.00;1.09
153531;1.00;0.55
